YEAR,MONTH,DAY,HOUR,VALUE
2020,2,7,0,71.0
2020,2,7,1,62.0
2020,2,7,2,49.0
2020,2,7,3,43.0
2020,2,7,4,41.0
2020,2,7,5,32.0
2020,2,7,6,45.0
2020,2,7,7,59.0
2020,2,7,8,73.0
2020,2,7,9,72.0
2020,2,7,10,64.0
2020,2,7,11,51.0
2020,2,7,12,41.0
2020,2,7,13,37.0
2020,2,7,14,38.0
2020,2,7,15,44.0
2020,2,7,16,42.0
2020,2,7,17,45.0
2020,2,7,18,46.0
2020,2,7,19,60.0
2020,2,7,20,62.0
2020,2,7,21,78.0
2020,2,7,22,95.0
2020,2,7,23,101.0
2020,2,8,0,85.0
2020,2,8,1,75.0
2020,2,8,2,71.0
2020,2,8,3,61.0
2020,2,8,4,56.0
2020,2,8,5,49.0
2020,2,8,6,45.0
2020,2,8,7,41.0
2020,2,8,8,45.0
2020,2,8,9,55.0
2020,2,8,10,57.0
2020,2,8,11,48.0
2020,2,8,12,35.0
2020,2,8,13,37.0
2020,2,8,14,41.0
2020,2,8,15,43.0
2020,2,8,16,28.0
2020,2,8,17,24.0
2020,2,8,18,25.0
2020,2,8,19,34.0
2020,2,8,20,36.0
2020,2,8,21,42.0
2020,2,8,22,33.0
2020,2,8,23,28.0
2020,2,9,0,30.0
2020,2,9,1,20.0
2020,2,9,2,15.0
2020,2,9,3,20.0
2020,2,9,4,39.0
2020,2,9,5,41.0
2020,2,9,6,33.0
2020,2,9,7,36.0
2020,2,9,8,36.0
2020,2,9,9,35.0
2020,2,9,10,34.0
2020,2,9,11,36.0
2020,2,9,12,38.0
2020,2,9,13,37.0
2020,2,9,14,39.0
2020,2,9,15,30.0
2020,2,9,16,25.0
2020,2,9,17,22.0
2020,2,9,18,31.0
2020,2,9,19,28.0
2020,2,9,20,21.0
2020,2,9,21,42.0
2020,2,9,22,89.0
2020,2,9,23,73.0
2020,2,10,0,53.0
2020,2,10,1,36.0
2020,2,10,2,47.0
2020,2,10,3,46.0
2020,2,10,4,29.0
2020,2,10,5,26.0
2020,2,10,6,26.0
2020,2,10,7,27.0
2020,2,10,8,40.0
2020,2,10,9,53.0
2020,2,10,10,58.0
2020,2,10,11,59.0
2020,2,10,12,56.0
2020,2,10,13,51.0
2020,2,10,14,47.0
2020,2,10,15,47.0
2020,2,10,16,44.0
2020,2,10,17,43.0
2020,2,10,18,38.0
2020,2,10,19,51.0
2020,2,10,20,60.0
2020,2,10,21,79.0
2020,2,10,22,82.0
2020,2,10,23,74.0
2020,2,11,0,60.0
2020,2,11,1,57.0
2020,2,11,2,55.0
2020,2,11,3,52.0
2020,2,11,4,47.0
2020,2,11,5,48.0
2020,2,11,6,48.0
2020,2,11,7,53.0
2020,2,11,8,55.0
2020,2,11,9,55.0
2020,2,11,10,56.0
2020,2,11,11,63.0
2020,2,11,12,66.0
2020,2,11,13,70.0
2020,2,11,14,72.0
2020,2,11,15,70.0
2020,2,11,16,73.0
2020,2,11,17,83.0
2020,2,11,18,76.0
2020,2,11,19,65.0
2020,2,11,20,52.0
2020,2,11,21,50.0
2020,2,11,22,46.0
2020,2,11,23,47.0
2020,2,12,0,48.0
2020,2,12,1,48.0
2020,2,12,2,48.0
2020,2,12,3,49.0
2020,2,12,4,48.0
2020,2,12,5,48.0
2020,2,12,6,49.0
2020,2,12,7,54.0
2020,2,12,8,57.0
2020,2,12,9,69.0
2020,2,12,10,67.0
2020,2,12,11,64.0
2020,2,12,12,65.0
2020,2,12,13,63.0
2020,2,12,14,60.0
2020,2,12,15,55.0
2020,2,12,16,49.0
2020,2,12,17,46.0
2020,2,12,18,47.0
2020,2,12,19,47.0
2020,2,12,20,50.0
2020,2,12,21,55.0
2020,2,12,22,58.0
2020,2,12,23,59.0
2020,2,13,0,54.0
2020,2,13,1,48.0
2020,2,13,2,46.0
2020,2,13,3,43.0
2020,2,13,4,41.0
2020,2,13,5,35.0
2020,2,13,6,36.0
2020,2,13,7,44.0
2020,2,13,8,45.0
2020,2,13,9,49.0
2020,2,13,10,43.0
2020,2,13,11,38.0
2020,2,13,12,28.0
2020,2,13,13,28.0
2020,2,13,14,24.0
2020,2,13,15,20.0
2020,2,13,16,19.0
2020,2,13,17,24.0
2020,2,13,18,27.0
2020,2,13,19,46.0
2020,2,13,20,47.0
2020,2,13,21,42.0
2020,2,13,22,52.0
2020,2,13,23,57.0
2020,2,14,0,40.0
2020,2,14,1,41.0
2020,2,14,2,46.0
2020,2,14,3,48.0
2020,2,14,4,37.0
2020,2,14,5,30.0
2020,2,14,6,33.0
2020,2,14,7,39.0
2020,2,14,8,50.0
2020,2,14,9,50.0
2020,2,14,10,45.0
2020,2,14,11,50.0
